0	0.6773
1	0.6773
2	0.7204
3	0.5539
4	0.7223
5	0.7146
6	0.7142
7	0.6921
8	0.5862
9	0.7109
10	0.6548
11	0.6570
12	0.7210
13	0.5717
14	0.6806
15	0.6601
16	0.5993
17	0.5762
18	0.7281
19	0.6386
20	0.7517
21	0.7522
22	0.7087
23	0.7484
24	0.7415
25	0.7773
26	0.6627
27	0.7176
28	0.6990
29	0.6688
30	0.6867
31	0.6968
32	0.6470
33	0.6988
34	0.6159
35	0.6770
36	0.7011
37	0.6640
38	0.7030
39	0.7083
40	0.6710
41	0.6890
42	0.6781
43	0.7057
44	0.6525
45	0.7027
46	0.6367
47	0.6674
48	0.6851
49	0.6782
50	0.6927
51	0.6542
52	0.6807
53	0.7150
54	0.7387
55	0.6895
56	0.7202
57	0.7019
58	0.7134
59	0.6527
60	0.6778
61	0.7023
62	0.7026
63	0.6795
64	0.7920
65	0.6052
66	0.7062
67	0.5993
68	0.6743
69	0.7218
70	0.7162
71	0.7190
72	0.7380
73	0.7448
74	0.7160
75	0.7370
76	0.6630
77	0.6350
78	0.7203
79	0.6635
80	0.6873
81	0.7490
82	0.7118
83	0.7005
84	0.6862
85	0.6557
86	0.7113
87	0.6973
88	0.6894
89	0.7455
90	0.6807
91	0.6590
92	0.6548
93	0.6627
94	0.7273
95	0.6494
96	0.6874
97	0.5953
98	0.6392
99	0.6672
100	0.7114
101	0.7330
102	0.6859
103	0.6708
104	0.6405
105	0.6222
106	0.5990
107	0.6623
108	0.5839
109	0.7301
110	0.7208
111	0.7024
112	0.7479
114	0.6703
115	0.7488
116	0.6661
117	0.7067
118	0.7390
119	0.7182
120	0.7790
121	0.7705
122	0.6726
123	0.6380
124	0.7214
125	0.7082
126	0.7561
127	0.7349
128	0.6925
129	0.7649
130	0.6802
131	0.6928
132	0.6983
133	0.6594
134	0.6778
135	0.7410
136	0.7218
137	0.7111
138	0.7491
139	0.7540
140	0.7198
141	0.7423
142	0.6940
143	0.7517
144	0.7224
145	0.7109
146	0.7670
148	0.6763
149	0.7542
150	0.7048
151	0.6428
152	0.7349
153	0.6890
154	0.6612
155	0.7269
156	0.7257
157	0.6970
158	0.6993
159	0.6503
160	0.7115
161	0.7837
162	0.7199
163	0.6918
164	0.6799
165	0.6867
166	0.7823
167	0.6701
168	0.7187
169	0.6995
170	0.7365
171	0.7766
172	0.7169
173	0.7148
174	0.7880
175	0.6417
176	0.7312
177	0.6968
178	0.6750
179	0.7029
180	0.6840
181	0.7458
182	0.6866
183	0.7151
184	0.6954
185	0.7073
186	0.6388
187	0.7392
188	0.6642
189	0.7493
190	0.7097
191	0.6728
192	0.7106
193	0.7430
194	0.6905
195	0.7183
196	0.6384
197	0.7107
198	0.5987
199	0.6560
200	0.7053
201	0.7461
202	0.6836
203	0.6865
204	0.7376
205	0.7389
206	0.7085
207	0.6642
208	0.6859
209	0.7246
210	0.6831
211	0.6873
212	0.6355
213	0.5650
